YMD,Max_Temperature,Min_Temperature,Avg_Temperature,Avg_Humidity,Rainfall
2012-01-01,19.5,12.1,15.8,63.0,0.0
2012-01-02,20.0,13.0,16.0,59.0,0.0
2012-01-03,18.7,14.2,15.8,72.0,0.0
2012-01-04,14.9,9.3,10.9,62.0,0.0
2012-01-05,9.2,5.1,6.9,78.0,2.9
2012-01-06,11.0,6.3,8.2,92.0,3.3
2012-01-07,12.4,9.4,10.5,80.0,0.0
2012-01-08,16.6,9.9,12.2,75.0,0.0
2012-01-09,17.3,9.4,12.4,75.0,0.0
2012-01-10,17.1,9.4,13.2,73.0,0.0
2012-01-11,16.7,11.6,14.5,68.0,0.4
2012-01-12,14.8,11.8,13.1,72.0,1.8
2012-01-13,16.1,11.4,13.3,88.0,1.0
2012-01-14,19.2,13.9,15.8,90.0,2.2
2012-01-15,16.5,13.2,15.0,99.0,14.4
2012-01-16,15.3,12.0,13.4,90.0,9.5
2012-01-17,17.7,10.8,13.5,74.0,0.0
2012-01-18,24.1,13.0,16.9,74.0,0.0
2012-01-19,23.6,16.5,19.2,85.0,0.0
2012-01-20,18.5,15.5,16.4,86.0,0.0
2012-01-21,16.1,13.8,14.7,90.0,0.0
2012-01-22,13.6,7.4,9.7,93.0,2.5
2012-01-23,8.9,5.2,7.0,87.0,7.5
2012-01-24,8.0,6.0,6.7,90.0,1.9
2012-01-25,7.3,4.5,6.1,77.0,1.3
2012-01-26,7.7,4.5,6.1,86.0,0.8
2012-01-27,11.4,7.0,8.7,93.0,0.0
2012-01-28,20.2,10.6,13.8,90.0,0.1
2012-01-29,15.4,10.9,12.8,82.0,0.0
2012-01-30,17.9,11.8,13.8,67.0,0.0
2012-01-31,17.5,11.1,13.7,57.0,0.0
2012-02-01,18.0,6.5,12.0,67.0,0.0
2012-02-02,15.0,10.2,12.6,68.0,0.0
2012-02-03,10.3,7.1,8.6,76.0,1.7
2012-02-04,15.0,8.2,10.7,75.0,0.0
2012-02-05,18.9,12.1,14.8,79.0,0.1
2012-02-06,25.6,14.9,18.5,81.0,0.0
2012-02-07,20.5,9.6,12.6,69.0,11.0
2012-02-08,11.1,6.8,9.0,59.0,0.2
2012-02-09,12.4,5.0,7.9,61.0,0.1
2012-02-10,10.8,6.3,9.0,79.0,0.1
2012-02-11,9.8,5.2,7.0,72.0,0.0
2012-02-12,13.1,6.6,9.2,79.0,0.0
2012-02-13,26.6,10.2,16.6,71.0,0.0
2012-02-14,25.2,17.0,20.2,78.0,0.0
2012-02-15,27.5,19.5,22.1,80.0,0.1
2012-02-16,21.1,10.4,13.9,64.0,0.0
2012-02-17,14.6,8.9,10.5,57.0,0.0
2012-02-18,15.9,8.0,10.6,52.0,0.0
2012-02-19,16.3,8.1,11.5,47.0,0.0
2012-02-20,18.6,8.7,13.8,59.0,0.0
2012-02-21,24.0,14.8,18.2,66.0,0.0
2012-02-22,21.8,17.4,19.3,89.0,11.8
2012-02-23,26.4,19.7,22.1,86.0,0.0
2012-02-24,24.2,15.3,20.8,88.0,7.0
2012-02-25,15.6,9.6,12.7,83.0,12.9
2012-02-26,9.8,6.9,8.2,75.0,2.4
2012-02-27,7.0,5.3,6.0,82.0,1.4
2012-02-28,12.8,5.2,8.2,81.0,32.1
2012-02-29,13.1,9.2,11.0,86.0,7.0
2012-03-01,17.4,12.1,13.9,87.0,0.0
2012-03-02,26.1,15.1,19.1,79.0,0.0
2012-03-03,19.7,13.1,15.8,79.0,0.0
2012-03-04,22.0,15.3,17.7,87.0,1.4
2012-03-05,23.2,18.6,20.4,88.0,0.1
2012-03-06,21.9,18.7,20.0,90.0,1.4
2012-03-07,22.0,12.8,16.5,91.0,31.0
2012-03-08,13.1,11.1,11.9,91.0,18.5
2012-03-09,11.2,9.2,10.3,79.0,1.7
2012-03-10,12.1,7.4,9.6,70.0,0.7
2012-03-11,11.0,8.2,9.3,82.0,8.1
2012-03-12,12.5,9.1,10.7,85.0,4.6
2012-03-13,13.0,10.7,11.5,87.0,2.0
2012-03-14,17.3,11.3,13.6,85.0,0.5
2012-03-15,23.6,14.4,17.5,84.0,0.8
2012-03-16,25.8,17.7,20.3,85.0,0.0
2012-03-17,28.4,19.4,22.8,80.0,0.0
2012-03-18,30.0,20.0,24.3,75.0,0.0
