YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345
20090101,3600.744737,3426.398586,3314.599975,3197.954177,3051.266703,2955.7454679999996,2872.087915,2813.2544080000002,2732.812405,2672.919173,2597.8306,2556.566703,2536.3783839999996,2493.945637,2458.199876,2443.878602,2430.211884,2432.7252510000003,2374.8290549999997,2372.5357809999996,2363.410312,2401.641407,2372.898076,2402.447574,2403.662014,2395.7198479999997,2413.93315,2438.6390499999998,2486.15935,2509.984005,2582.0756659999997,2672.3268909999997,2760.320732,2869.520325,2957.8448390000003,3067.115242,3126.2657449999997,3223.3896139999997,3288.792446,3377.523487,3429.7391689999995,3475.814363,3511.353902,3556.1517029999995,3635.739815,3723.1049019999996,3766.290272,3777.573215,3675.931086,3559.2261179999996,3488.7332109999998,3408.3311719999997,3341.048577,3306.863158,3271.0148679999998,3267.231965,3215.051785,3183.444432,3162.443059,3148.677886,3169.1276199999998,3171.732652,3204.230271,3242.961789,3266.3035779999996,3315.637196,3372.067916,3432.149037,3517.043922,3643.254211,3805.400769,3974.998479,4213.415360999999,4481.412393,4561.767484,4527.48458,4482.988643,4422.784235,4354.299712999999,4308.351686,4298.727443,4263.941497,4249.823438,4238.963512,4227.858273,4199.236191999999,4160.235790000001,4111.410937,4041.7286590000003,3965.033281,3873.7722859999994,3743.213002,3608.203552,3430.559498,3341.0014349999997,3172.468203
20090102,3033.102483,2899.1140549999996,2789.596011,2691.868511,2585.3482520000002,2473.0941289999996,2411.4989349999996,2359.9456659999996,2310.153626,2250.349828,2240.506559,2181.2923269999997,2178.488445,2138.2154029999997,2080.815362,2075.548068,2066.166616,2072.088175,2094.61303,2096.2269159999996,2091.641241,2099.612701,2116.584112,2123.607882,2187.01426,2218.729186,2259.39954,2332.875876,2388.853606,2502.863429,2663.239737,2831.324732,3114.937212,3435.373705,3644.244581,3822.6371839999997,3911.682796,4034.4597700000004,4123.100213,4241.856537,4293.500016,4371.044532,4429.750872,4491.481866,4588.4254120000005,4635.41357,4684.96699,4614.651884,4394.062147,4152.13241,4070.657163,4004.9628460000004,3990.340387,3999.6444330000004,4060.0530259999996,4180.637509,4175.191735,4178.737376,4200.042747,4189.543273,4217.76552,4207.607195,4234.776119,4254.784309,4298.521415,4359.939778,4394.955419999999,4444.2364640000005,4507.561168,4644.046958,4683.286561999999,4781.626423,4976.437731,5192.667221,5314.733767,5307.147105999999,5287.712089000001,5277.627484,5241.578404,5192.575362,5137.786948999999,5107.781842,5074.053486999999,5043.9266450000005,5025.341736,4988.9558719999995,4900.348215,4836.217344,4742.207369,4639.0051889999995,4554.09847,4417.027188,4255.111587,4013.8160359999993,3840.0746799999997,3723.1610650000002
20090103,3601.3825119999997,3405.2447289999996,3280.7842229999997,3164.196916,3053.336974,2962.821036,2868.048059,2839.0318669999997,2737.142582,2717.8479239999997,2707.4514639999998,2669.95398,2625.217483,2586.9343959999997,2562.891588,2549.528771,2527.944913,2509.92241,2498.1327389999997,2502.372512,2490.466344,2535.191201,2519.283298,2569.278068,2591.748215,2682.914926,2703.8944739999997,2771.817948,2799.842994,2884.894922,3063.924815,3217.94384,3509.48704,3893.1614219999997,4072.479211,4232.888207999999,4301.861997999999,4471.749835,4543.965074,4664.815822,4713.152861999999,4772.884589,4835.796752,4865.721834,4900.935065000001,4973.447221,4979.956891,4909.554194,4633.25241,4351.031201,4281.791825,4216.0913,4195.269474,4271.853980999999,4372.405830000001,4511.9853379999995,4559.010938,4556.831736,4552.78315,4558.817714,4532.810073999999,4523.943206999999,4571.716676999999,4592.982763,4627.862023,4687.443109,4765.134095,4791.887665,4844.551875,4938.369110999999,4997.7147780000005,5048.042549,5167.632879,5364.0124829999995,5461.860747999999,5463.1253369999995,5439.762887,5439.513306,5397.738898,5364.638618,5335.455198,5296.490395,5280.485395,5267.222779,5229.126611,5163.130139,5112.055468,5036.428545,4934.513652,4835.540575,4688.076421999999,4518.970502,4316.9680020000005,4116.674835999999,3917.723471,3789.420407
20090104,3623.9077549999997,3475.551784,3350.2062499999997,3230.340634,3146.4387380000003,3055.6809789999998,2990.0759989999997,2933.750912,2842.643565,2826.9260729999996,2798.474421,2733.358709,2695.7617029999997,2686.3914059999997,2689.2926759999996,2672.671241,2654.144144,2605.031007,2619.012587,2598.674112,2610.43866,2650.8625369999995,2679.606644,2720.765296,2762.397114,2829.148149,2919.2986880000003,2998.366007,3106.286558,3248.3330669999996,3375.7888359999997,3523.9013370000002,3824.214889,4141.360172,4342.878545,4511.483848,4620.777434,4732.037113,4845.864285,4935.704909,4957.05199,5009.203264,5072.272664,5096.106825,5158.201472,5231.8897529999995,5236.693775000001,5148.274104,4873.929392,4566.755805999999,4512.337739,4417.6514799999995,4385.124276,4427.282319,4478.472032,4622.254162,4628.653445999999,4699.350247,4690.902032,4706.8862739999995,4716.035411,4698.009900999999,4734.014069999999,4780.691052,4813.929654,4866.650608999999,4912.791472,4945.183264,5015.37324,5067.584653999999,5107.185098,5180.072838,5316.277328,5513.361637,5646.217105,5657.3730749999995,5604.985897,5556.641291,5527.712302,5477.365616,5465.218306,5423.6484709999995,5415.298323,5401.0287499999995,5338.169161,5272.561562,5220.444432,5124.067657,5106.6967030000005,4935.06403,4820.396644,4649.300963,4515.647961,4296.2281410000005,4106.600707,3892.342936
20090105,3707.639901,3562.741592,3522.530436,3394.931592,3307.297718,3207.45329,3098.801456,3133.1763159999996,3068.278466,3065.606407,2898.7977379999998,2886.862858,2894.059288,2947.855876,2865.676118,2863.959218,2860.826118,2795.4470509999996,2851.5789139999997,2892.3951559999996,2863.346566,2895.725457,2839.096275,2881.1473269999997,3009.7926070000003,2980.6012330000003,3155.273401,3189.679495,3276.8675569999996,3409.9271129999997,3622.773631,3786.816151,4065.4794,4412.700115000001,4569.743988,4740.918627,4919.270296,4985.214194,5119.986381999999,5199.810592,5294.393158,5315.769145,5298.2874170000005,5348.357459,5477.004679000001,5546.942746,5564.017171,5431.469096,5069.134325999999,4845.998339000001,4798.898921999999,4717.102508,4676.0820810000005,4667.120057,4767.646201,4998.065724,4939.495863,5050.9662260000005,5028.50801,4993.1679030000005,5089.999317,5026.987631999999,5105.454909,5075.027755,5077.853947,5143.175008,5261.67079,5208.612081,5334.487622999999,5397.354778,5349.113865,5426.054556,5614.959243,5766.182145999999,5925.185904,5855.107187,5828.727746,5821.790888,5879.404523,5758.320781,5780.310584,5739.314794999999,5645.166595,5695.8178609999995,5627.350410999999,5625.799769,5509.592023,5359.957203999999,5264.789243,5173.287590999999,5067.10722,4895.656421999999,4740.786028,4357.966604,4197.128964,4163.0136760000005
20090106,3905.797903,3790.214255,3632.276139,3498.3145799999998,3469.530703,3312.22396,3329.8109329999997,3196.870493,3135.849054,3181.267558,3026.2799880000002,3067.98669,2994.6064810000003,2930.241452,2931.805674,3001.591645,2978.7724919999996,2965.6751639999998,2948.145518,2884.691222,2955.198873,2964.654433,2989.637365,3030.768372,2970.190999,3099.09944,3259.202887,3384.254026,3377.574606,3530.364835,3669.5749669999996,3785.19208,4061.5136519999996,4557.56719,4815.153503,4916.995937,5070.991003,5121.680099,5231.107254,5350.871990000001,5349.209507,5489.058578,5458.891966,5456.559794999999,5617.563208,5622.453074999999,5673.0266440000005,5452.396555,4953.265789,4965.745032999999,4842.942451,4737.614613,4718.312583,4755.075971,4878.241333,5070.307056,5017.85935,5097.352014,5124.4603130000005,5141.631932,5086.54699,5222.415180999999,5228.097344,5270.079235,5294.681151,5222.140477,5357.073684999999,5468.971818,5397.312583,5497.13926,5525.185936999999,5534.513166,5766.637755,5883.684259999999,6090.90245,6093.119482,5966.172186999999,5861.639069999999,5984.613536,5917.417853,5818.417713,5716.3099839999995,5802.9639640000005,5751.146176,5780.993561,5557.250354,5586.173232,5479.333552,5422.984506,5218.228758,5125.098767,5008.046636,4811.314728,4532.093438,4432.433116,4249.550189
20090107,3941.560057,3893.229128,3784.4506119999996,3607.3990339999996,3444.1617109999997,3398.204663,3285.198014,3203.9365549999998,3273.6363899999997,3215.400209,3171.098466,3074.153659,3042.7032520000002,3065.9913030000002,3043.0655469999997,3010.260535,2928.8620149999997,3020.813068,3028.595863,2964.895963,2993.6398759999997,2995.484137,3020.049096,3036.7204859999997,3041.147857,3136.136756,3208.358882,3442.5070849999997,3473.7668869999998,3641.554092,3729.853968,3912.7162339999995,4329.950288,4638.934088,4882.9923929999995,4941.172023,5122.226209,5254.895049,5255.935082999999,5251.896487999999,5383.236233999999,5331.574325,5462.869063,5608.538619,5634.74152,5653.405872,5561.4812999999995,5417.47704,5191.51069,4926.583223,4795.529433,4743.710675,4664.270682,4767.666571,4865.158652,5071.599581,5097.468996,5142.582047,5188.555682,5098.112106,5096.93472,5138.103848,5078.718799,5179.158807,5122.344646,5187.0935039999995,5401.055716,5349.228907,5474.312540999999,5451.5985359999995,5498.7287989999995,5729.418273,5688.595823,5956.908880999999,6065.079497999999,6015.2395400000005,5970.391299,5974.921587,5888.518642999999,5897.723264,5814.583594,5804.510823,5875.054655,5797.736925,5796.017697,5696.358733,5615.837772,5590.849407999999,5340.740049,5271.784785999999,5190.60083,4931.130486,4877.688627,4532.934622,4367.889704,4111.728709
20090108,3962.2085439999996,3854.3016699999994,3812.846295,3683.539087,3596.147907,3425.374363,3374.691669,3348.487216,3293.859532,3160.5328379999996,3161.547652,3148.666537,3167.6582639999997,3077.458158,3069.991098,3123.1955009999997,3059.991756,3060.430099,3095.2137169999996,3124.7285859999997,3076.733762,2979.8254269999998,3070.208475,3168.923532,3242.0315589999996,3255.172731,3305.4283339999997,3370.057591,3613.280338,3590.381645,3865.4566699999996,3887.014144,4226.850831,4624.945912,4869.003634999999,5027.674392,5066.285436,5211.320320999999,5374.73884,5308.881078,5407.256538,5388.898512,5485.4386349999995,5530.850058,5508.2298519999995,5632.607714000001,5587.6727550000005,5469.741028,5298.479671,5025.92005,4999.253586,4813.563964,4740.817262,4890.627845,4913.127286,5095.471669,5105.194852,5047.608668,5084.058067,5156.48884,5168.06676,5190.80259,5278.119177,5220.550453,5178.033898,5283.17278,5324.447541,5361.553339,5408.167368,5391.071118,5507.285459999999,5608.007253,5691.618149,5889.750058,6043.391365,6076.861603,6056.655436,6139.48005,5943.812426,6006.985616,5846.108109,5807.047664000001,5914.920394,5770.627656,5859.298363,5674.883709,5625.2394,5567.122334999999,5352.076924,5342.38449,5184.236078,4919.063783,4847.943577,4688.62583,4503.565156000001,4161.004515
20090109,4013.2832149999995,3995.953874,3799.470383,3670.0788820000002,3586.819223,3468.463412,3473.0446249999995,3442.1850449999997,3397.141349,3314.577665,3148.19308,3152.0584329999997,3186.098837,3202.024297,3081.4847250000003,3064.6181709999996,2982.669758,3062.1435069999998,3061.554717,3106.087611,2954.760045,2982.483227,3140.184178,3173.2347939999995,3245.290177,3313.4831169999998,3264.24873,3441.825078,3627.352225,3667.396929,3754.332985,3967.1400239999994,4152.789391,4617.828537,4766.134359,4946.898224,5024.4702879999995,5165.180428,5238.344909,5418.584392,5419.519375,5512.039721,5431.823436999999,5532.898115999999,5640.797812,5666.142845,5659.81505,5499.636234,5156.251480999999,4987.781784,4919.431316,4870.809096,4748.980394,4892.669695,4985.36532,5229.056965,5192.177953,5219.327089,5204.188881,5134.302418,5168.5536999999995,5088.845987,5211.478043,5255.749037,5131.059514,5274.294564,5297.233512,5337.325164,5438.878634999999,5408.984398999999,5516.1172129999995,5592.030189,5749.971603,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,4876.88634,4876.2592349999995,4876.2592349999995,4876.2592349999995,5847.722771,5491.251554,5440.847056,5290.948882,5385.213676,5204.967015,4833.251472,4833.251472,4611.105369999999,4300.394679
20090110,4191.794448999999,4019.286448,3937.6653130000004,3875.9945559999996,3544.3016979999998,3655.377853,3655.377853,3655.377853,3655.377853,3248.4552869999998,3157.4836429999996,3154.024429,3154.024429,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,3144.4142509999997,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601
